id,perception,pragmatics,production,alpha,simScaling,pragWeight,costWeight,logLikelihood,posteriorProb
29,fc6,S0,nocost,29.9714795495814,1,0,0,-18230.86076188815,-4.961845129926823
30,fc6,S0,nocost,29.989095654171194,1,0,0,-18230.681713455517,-4.710530701645918
31,fc6,S0,nocost,29.81911314065878,1,0,0,-18232.442751599658,-6.907755278982138
32,fc6,S0,nocost,29.774873294645893,1,0,0,-18232.91332854973,-5.809142990314027
33,fc6,S0,nocost,29.698543389143467,1,0,0,-18233.73720092037,-6.214608098422191
34,fc6,S0,nocost,29.916334923364282,1,0,0,-18231.426404567068,-6.907755278982138
35,fc6,S0,nocost,29.866869676978588,1,0,0,-18231.94045776221,-6.214608098422191
36,fc6,S0,nocost,29.957909173131128,1,0,0,-18230.99923355384,-6.907755278982138
37,fc6,S0,nocost,29.861171954349288,1,0,0,-18232.000075407537,-6.214608098422191
38,fc6,S0,nocost,29.968357242765517,1,0,0,-18230.8925798822,-4.268697949366879
39,fc6,S0,nocost,29.936121935016327,1,0,0,-18231.222540276376,-4.268697949366879
40,fc6,S0,nocost,29.758604512061318,1,0,0,-18233.08765613652,-6.214608098422191
41,fc6,S0,nocost,29.812880105047487,1,0,0,-18232.508744970728,-4.3428059215206005
42,fc6,S0,nocost,29.755232505937833,1,0,0,-18233.123874792876,-4.961845129926823
43,fc6,S0,nocost,29.959806367857556,1,0,0,-18230.97984617976,-2.4418471603275536
44,fc6,S0,nocost,29.919467389292112,1,0,0,-18231.394063785006,-5.521460917862246
45,fc6,S0,nocost,29.817351245343968,1,0,0,-18232.461395774564,-5.298317366548036
46,fc6,S0,nocost,29.95863707381975,1,0,0,-18230.9917940652,-3.772261063052988
47,fc6,S0,nocost,29.820788442107396,1,0,0,-18232.42503120928,-5.521460917862246
48,fc6,S0,nocost,29.84190239265821,1,0,0,-18232.20232272693,-6.907755278982138
49,fc6,S0,nocost,29.81585903509159,1,0,0,-18232.477192462626,-4.710530701645918
50,fc6,S0,nocost,29.83734838294536,1,0,0,-18232.250260504108,-6.907755278982138
51,fc6,S0,nocost,29.970787878422552,1,0,0,-18230.86780823111,-5.809142990314027
52,fc6,S0,nocost,29.930251009528327,1,0,0,-18231.28292283664,-3.381394754365976
53,fc6,S0,nocost,29.863624305102558,1,0,0,-18231.974405156667,-3.912023005428147
54,fc6,S0,nocost,29.98494306858231,1,0,0,-18230.723848163416,-4.268697949366879
55,fc6,S0,nocost,29.954655221756376,1,0,0,-18231.0325071308,-3.729701448634192
56,fc6,S0,nocost,29.936673014281578,1,0,0,-18231.216876972892,-4.605170185988091
57,fc6,S0,nocost,29.85661845530953,1,0,0,-18232.04778088469,-3.2968373663379125
58,fc6,S0,nocost,29.914998180935573,1,0,0,-18231.440213306712,-4.710530701645918
59,fc6,S0,nocost,29.878076374177688,1,0,0,-18231.823442131517,-6.907755278982138
60,fc6,S0,nocost,29.93487011108261,1,0,0,-18231.23540786189,-5.115995809754082
61,fc6,S0,nocost,29.997671264392928,1,0,0,-18230.594840074944,-3.4112477175156566
62,fc6,S0,nocost,29.74591245080493,1,0,0,-18233.22413508981,-5.809142990314027
63,fc6,S0,nocost,29.963053079337893,1,0,0,-18230.946689603377,-5.809142990314027
64,fc6,S0,nocost,29.77702142519666,1,0,0,-18232.890361705377,-5.298317366548036
65,fc6,S0,nocost,29.928759477348,1,0,0,-18231.298277405327,-4.710530701645918
66,fc6,S0,nocost,29.991562042325114,1,0,0,-18230.656708904564,-4.509860006183767
67,fc6,S0,nocost,29.965970949591373,1,0,0,-18230.91691438861,-3.218875824868201
68,fc6,S0,nocost,29.96877731877552,1,0,0,-18230.888297622125,-3.912023005428147
69,fc6,S0,nocost,29.965452841567107,1,0,0,-18230.92219978992,-4.509860006183767
70,fc6,S0,nocost,29.810682404410834,1,0,0,-18232.532037520294,-6.214608098422191
71,fc6,S0,nocost,29.863990195648103,1,0,0,-18231.970576489657,-6.907755278982138
72,fc6,S0,nocost,29.872300527676988,1,0,0,-18231.88371058692,-4.0745419349259215
73,fc6,S0,nocost,29.853025091257862,1,0,0,-18232.08546518983,-5.298317366548036
74,fc6,S0,nocost,29.8830355689603,1,0,0,-18231.77176381748,-4.8283137373023015
75,fc6,S0,nocost,29.88378708199077,1,0,0,-18231.76393806058,-4.8283137373023015
76,fc6,S0,nocost,29.821489011131334,1,0,0,-18232.417623142414,-5.298317366548036
77,fc6,S0,nocost,29.817873234054197,1,0,0,-18232.45587131136,-5.521460917862246
78,fc6,S0,nocost,29.87309368585013,1,0,0,-18231.87542922149,-4.710530701645918
79,fc6,S0,nocost,29.831720703838144,1,0,0,-18232.30957440248,-4.605170185988091
80,fc6,S0,nocost,29.805556006223767,1,0,0,-18232.586418817118,-5.809142990314027
81,fc6,S0,nocost,29.946427439657196,1,0,0,-18231.11676254595,-4.8283137373023015
82,fc6,S0,nocost,29.943850982764435,1,0,0,-18231.143182185297,-5.521460917862246
83,fc6,S0,nocost,29.860307257508005,1,0,0,-18232.009130423165,-3.729701448634192
84,fc6,S0,nocost,29.93392463667519,1,0,0,-18231.245129133164,-5.809142990314027
85,fc6,S0,nocost,29.954767149425248,1,0,0,-18231.03136215181,-6.214608098422191
86,fc6,S0,nocost,29.874820596876692,1,0,0,-18231.857404161885,-4.199705077879926
87,fc6,S0,nocost,29.921593149366398,1,0,0,-18231.372131020536,-5.521460917862246
88,fc6,S0,nocost,29.98671498646944,1,0,0,-18230.705863771396,-4.961845129926823
