,Unnamed: 0,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
1447,1447,further,247478e1ce8d_20,trial_27_sling,trial_10_beetle,trial_28_chihuahua,trial_29_sparrow,further_sling
1448,1448,closer,247478e1ce8d_21,trial_14_robin,trial_12_bluejay,trial_19_pigeon,trial_26_crow,closer_robin
1449,1449,closer,247478e1ce8d_22,trial_9_brown,trial_17_redsport,trial_24_white,trial_31_bluesedan,closer_brown
1450,1450,closer,247478e1ce8d_23,trial_19_pigeon,trial_12_bluejay,trial_14_robin,trial_26_crow,closer_pigeon
1451,1451,further,247478e1ce8d_24,trial_11_waiting,trial_1_bluesport,trial_20_cuckoo,trial_30_doberman,further_waiting
1452,1452,further,247478e1ce8d_25,trial_13_tomtit,trial_16_bloodhound,trial_4_straight,trial_6_hatchback,further_tomtit
1453,1453,further,247478e1ce8d_26,trial_20_cuckoo,trial_11_waiting,trial_1_bluesport,trial_30_doberman,further_cuckoo
1454,1454,further,247478e1ce8d_27,trial_15_nightingale,trial_18_pug,trial_21_woven,trial_3_redantique,further_nightingale
1455,1455,closer,247478e1ce8d_28,trial_26_crow,trial_12_bluejay,trial_14_robin,trial_19_pigeon,closer_crow
1456,1456,further,247478e1ce8d_29,trial_30_doberman,trial_11_waiting,trial_1_bluesport,trial_20_cuckoo,further_doberman
1457,1457,closer,247478e1ce8d_30,trial_12_bluejay,trial_14_robin,trial_19_pigeon,trial_26_crow,closer_bluejay
1458,1458,closer,247478e1ce8d_31,trial_17_redsport,trial_24_white,trial_31_bluesedan,trial_9_brown,closer_redsport
1459,1459,further,247478e1ce8d_32,trial_1_bluesport,trial_11_waiting,trial_20_cuckoo,trial_30_doberman,further_bluesport
1460,1460,further,3fac34c1563f_1,trial_2_bullmastiff,trial_12_bluejay,trial_24_white,trial_5_inlay,further_bullmastiff
1461,1461,further,3fac34c1563f_2,trial_14_robin,trial_1_bluesport,trial_23_weimaraner,trial_4_straight,further_robin
1462,1462,further,3fac34c1563f_4,trial_16_bloodhound,trial_10_beetle,trial_20_cuckoo,trial_32_squat,further_bloodhound
1463,1463,further,3fac34c1563f_5,trial_27_sling,trial_13_tomtit,trial_17_redsport,trial_7_basset,further_sling
1464,1464,closer,3fac34c1563f_6,trial_21_woven,trial_11_waiting,trial_22_leather,trial_8_knob,closer_woven
1465,1465,closer,3fac34c1563f_7,trial_25_goldenretriever,trial_18_pug,trial_28_chihuahua,trial_30_doberman,closer_goldenretriever
1466,1466,further,3fac34c1563f_8,trial_1_bluesport,trial_14_robin,trial_23_weimaraner,trial_4_straight,further_bluesport
1467,1467,further,3fac34c1563f_9,trial_10_beetle,trial_16_bloodhound,trial_20_cuckoo,trial_32_squat,further_beetle
1468,1468,further,3fac34c1563f_10,trial_12_bluejay,trial_24_white,trial_2_bullmastiff,trial_5_inlay,further_bluejay
1469,1469,closer,3fac34c1563f_11,trial_22_leather,trial_11_waiting,trial_21_woven,trial_8_knob,closer_leather
1470,1470,closer,3fac34c1563f_12,trial_9_brown,trial_31_bluesedan,trial_3_redantique,trial_6_hatchback,closer_brown
1471,1471,further,3fac34c1563f_13,trial_23_weimaraner,trial_14_robin,trial_1_bluesport,trial_4_straight,further_weimaraner
1472,1472,further,3fac34c1563f_14,trial_5_inlay,trial_12_bluejay,trial_24_white,trial_2_bullmastiff,further_inlay
1473,1473,closer,3fac34c1563f_15,trial_11_waiting,trial_21_woven,trial_22_leather,trial_8_knob,closer_waiting
1474,1474,further,3fac34c1563f_16,trial_17_redsport,trial_13_tomtit,trial_27_sling,trial_7_basset,further_redsport
1475,1475,further,3fac34c1563f_17,trial_20_cuckoo,trial_10_beetle,trial_16_bloodhound,trial_32_squat,further_cuckoo
1476,1476,closer,3fac34c1563f_18,trial_26_crow,trial_15_nightingale,trial_19_pigeon,trial_29_sparrow,closer_crow
1477,1477,further,3fac34c1563f_19,trial_13_tomtit,trial_17_redsport,trial_27_sling,trial_7_basset,further_tomtit
1478,1478,closer,3fac34c1563f_20,trial_6_hatchback,trial_31_bluesedan,trial_3_redantique,trial_9_brown,closer_hatchback
1479,1479,further,3fac34c1563f_21,trial_7_basset,trial_13_tomtit,trial_17_redsport,trial_27_sling,further_basset
1480,1480,closer,3fac34c1563f_22,trial_18_pug,trial_25_goldenretriever,trial_28_chihuahua,trial_30_doberman,closer_pug
1481,1481,closer,3fac34c1563f_23,trial_15_nightingale,trial_19_pigeon,trial_26_crow,trial_29_sparrow,closer_nightingale
1483,1483,further,3fac34c1563f_25,trial_24_white,trial_12_bluejay,trial_2_bullmastiff,trial_5_inlay,further_white
1484,1484,further,3fac34c1563f_26,trial_32_squat,trial_10_beetle,trial_16_bloodhound,trial_20_cuckoo,further_squat
1485,1485,closer,3fac34c1563f_27,trial_8_knob,trial_11_waiting,trial_21_woven,trial_22_leather,closer_knob
1486,1486,further,3fac34c1563f_28,trial_4_straight,trial_14_robin,trial_1_bluesport,trial_23_weimaraner,further_straight
1487,1487,closer,3fac34c1563f_29,trial_30_doberman,trial_18_pug,trial_25_goldenretriever,trial_28_chihuahua,closer_doberman
1488,1488,closer,3fac34c1563f_30,trial_29_sparrow,trial_15_nightingale,trial_19_pigeon,trial_26_crow,closer_sparrow
1489,1489,closer,3fac34c1563f_31,trial_3_redantique,trial_31_bluesedan,trial_6_hatchback,trial_9_brown,closer_redantique
1490,1490,closer,3fac34c1563f_32,trial_31_bluesedan,trial_3_redantique,trial_6_hatchback,trial_9_brown,closer_bluesedan
1491,1491,closer,af88c375d43a_1,trial_13_tomtit,trial_19_pigeon,trial_20_cuckoo,trial_26_crow,closer_tomtit
1492,1492,further,af88c375d43a_2,trial_10_beetle,trial_29_sparrow,trial_32_squat,trial_7_basset,further_beetle
1494,1494,further,af88c375d43a_5,trial_32_squat,trial_10_beetle,trial_29_sparrow,trial_7_basset,further_squat
