,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
700,further,00eb4945ac70_20,trial_20_cuckoo,trial_11_waiting,trial_23_weimaraner,trial_31_bluesedan,further_cuckoo
701,closer,00eb4945ac70_21,trial_9_brown,trial_17_redsport,trial_1_bluesport,trial_24_white,closer_brown
702,closer,00eb4945ac70_23,trial_30_doberman,trial_16_bloodhound,trial_18_pug,trial_28_chihuahua,closer_doberman
703,closer,00eb4945ac70_26,trial_12_bluejay,trial_14_robin,trial_19_pigeon,trial_26_crow,closer_bluejay
704,further,00eb4945ac70_30,trial_11_waiting,trial_20_cuckoo,trial_23_weimaraner,trial_31_bluesedan,further_waiting
705,further,e890cdbb4ffb_1,trial_7_basset,trial_15_nightingale,trial_3_redantique,trial_8_knob,further_basset
706,further,e890cdbb4ffb_4,trial_20_cuckoo,trial_17_redsport,trial_22_leather,trial_2_bullmastiff,further_cuckoo
707,further,e890cdbb4ffb_5,trial_15_nightingale,trial_3_redantique,trial_7_basset,trial_8_knob,further_nightingale
708,further,e890cdbb4ffb_7,trial_17_redsport,trial_20_cuckoo,trial_22_leather,trial_2_bullmastiff,further_redsport
709,further,e890cdbb4ffb_10,trial_10_beetle,trial_25_goldenretriever,trial_29_sparrow,trial_32_squat,further_beetle
710,further,e890cdbb4ffb_14,trial_3_redantique,trial_15_nightingale,trial_7_basset,trial_8_knob,further_redantique
711,further,e890cdbb4ffb_18,trial_29_sparrow,trial_10_beetle,trial_25_goldenretriever,trial_32_squat,further_sparrow
712,further,e890cdbb4ffb_19,trial_25_goldenretriever,trial_10_beetle,trial_29_sparrow,trial_32_squat,further_goldenretriever
713,further,e890cdbb4ffb_20,trial_32_squat,trial_10_beetle,trial_25_goldenretriever,trial_29_sparrow,further_squat
714,further,e890cdbb4ffb_22,trial_22_leather,trial_17_redsport,trial_20_cuckoo,trial_2_bullmastiff,further_leather
715,further,e890cdbb4ffb_24,trial_2_bullmastiff,trial_17_redsport,trial_20_cuckoo,trial_22_leather,further_bullmastiff
716,further,e890cdbb4ffb_26,trial_8_knob,trial_15_nightingale,trial_3_redantique,trial_7_basset,further_knob
717,further,7ebf49ba594f_8,trial_9_brown,trial_14_robin,trial_21_woven,trial_2_bullmastiff,further_brown
718,further,7ebf49ba594f_9,trial_17_redsport,trial_18_pug,trial_19_pigeon,trial_22_leather,further_redsport
719,further,7ebf49ba594f_10,trial_18_pug,trial_17_redsport,trial_19_pigeon,trial_22_leather,further_pug
720,further,7ebf49ba594f_13,trial_19_pigeon,trial_17_redsport,trial_18_pug,trial_22_leather,further_pigeon
721,closer,7ebf49ba594f_14,trial_15_nightingale,trial_13_tomtit,trial_26_crow,trial_29_sparrow,closer_nightingale
722,further,7ebf49ba594f_15,trial_14_robin,trial_21_woven,trial_2_bullmastiff,trial_9_brown,further_robin
723,further,7ebf49ba594f_18,trial_2_bullmastiff,trial_14_robin,trial_21_woven,trial_9_brown,further_bullmastiff
724,further,7ebf49ba594f_19,trial_22_leather,trial_17_redsport,trial_18_pug,trial_19_pigeon,further_leather
725,closer,7ebf49ba594f_22,trial_26_crow,trial_13_tomtit,trial_15_nightingale,trial_29_sparrow,closer_crow
726,closer,7ebf49ba594f_23,trial_13_tomtit,trial_15_nightingale,trial_26_crow,trial_29_sparrow,closer_tomtit
727,closer,7ebf49ba594f_24,trial_29_sparrow,trial_13_tomtit,trial_15_nightingale,trial_26_crow,closer_sparrow
728,further,7ebf49ba594f_29,trial_21_woven,trial_14_robin,trial_2_bullmastiff,trial_9_brown,further_woven
729,closer,7d7f0b9a0af8_1,trial_32_squat,trial_21_woven,trial_27_sling,trial_5_inlay,closer_squat
730,further,7d7f0b9a0af8_2,trial_18_pug,trial_14_robin,trial_6_hatchback,trial_8_knob,further_pug
731,closer,7d7f0b9a0af8_4,trial_21_woven,trial_27_sling,trial_32_squat,trial_5_inlay,closer_woven
732,further,7d7f0b9a0af8_5,trial_4_straight,trial_12_bluejay,trial_1_bluesport,trial_25_goldenretriever,further_straight
733,further,7d7f0b9a0af8_6,trial_8_knob,trial_14_robin,trial_18_pug,trial_6_hatchback,further_knob
734,further,7d7f0b9a0af8_11,trial_31_bluesedan,trial_11_waiting,trial_19_pigeon,trial_2_bullmastiff,further_bluesedan
735,further,7d7f0b9a0af8_12,trial_19_pigeon,trial_11_waiting,trial_2_bullmastiff,trial_31_bluesedan,further_pigeon
736,closer,7d7f0b9a0af8_15,trial_27_sling,trial_21_woven,trial_32_squat,trial_5_inlay,closer_sling
