,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
672,closer,b5377cf24d71_4,trial_14_robin,trial_15_nightingale,trial_19_pigeon,trial_29_sparrow,closer_robin
673,closer,b5377cf24d71_5,trial_22_leather,trial_21_woven,trial_27_sling,trial_8_knob,closer_leather
674,further,b5377cf24d71_6,trial_7_basset,trial_11_waiting,trial_26_crow,trial_3_redantique,further_basset
675,closer,b5377cf24d71_7,trial_27_sling,trial_21_woven,trial_22_leather,trial_8_knob,closer_sling
676,further,b5377cf24d71_8,trial_4_straight,trial_16_bloodhound,trial_20_cuckoo,trial_24_white,further_straight
677,closer,b5377cf24d71_9,trial_15_nightingale,trial_14_robin,trial_19_pigeon,trial_29_sparrow,closer_nightingale
678,further,b5377cf24d71_10,trial_11_waiting,trial_26_crow,trial_3_redantique,trial_7_basset,further_waiting
679,closer,b5377cf24d71_11,trial_19_pigeon,trial_14_robin,trial_15_nightingale,trial_29_sparrow,closer_pigeon
680,further,b5377cf24d71_12,trial_17_redsport,trial_13_tomtit,trial_2_bullmastiff,trial_5_inlay,further_redsport
681,closer,b5377cf24d71_13,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,trial_6_hatchback,closer_beetle
682,closer,b5377cf24d71_14,trial_1_bluesport,trial_10_beetle,trial_31_bluesedan,trial_6_hatchback,closer_bluesport
683,further,b5377cf24d71_15,trial_24_white,trial_16_bloodhound,trial_20_cuckoo,trial_4_straight,further_white
684,further,b5377cf24d71_17,trial_20_cuckoo,trial_16_bloodhound,trial_24_white,trial_4_straight,further_cuckoo
685,further,b5377cf24d71_18,trial_32_squat,trial_12_bluejay,trial_28_chihuahua,trial_9_brown,further_squat
686,further,b5377cf24d71_19,trial_12_bluejay,trial_28_chihuahua,trial_32_squat,trial_9_brown,further_bluejay
687,closer,b5377cf24d71_20,trial_23_weimaraner,trial_18_pug,trial_25_goldenretriever,trial_30_doberman,closer_weimaraner
688,further,b5377cf24d71_21,trial_16_bloodhound,trial_20_cuckoo,trial_24_white,trial_4_straight,further_bloodhound
689,closer,b5377cf24d71_22,trial_29_sparrow,trial_14_robin,trial_15_nightingale,trial_19_pigeon,closer_sparrow
690,further,b5377cf24d71_23,trial_13_tomtit,trial_17_redsport,trial_2_bullmastiff,trial_5_inlay,further_tomtit
691,closer,b5377cf24d71_25,trial_8_knob,trial_21_woven,trial_22_leather,trial_27_sling,closer_knob
692,further,b5377cf24d71_26,trial_9_brown,trial_12_bluejay,trial_28_chihuahua,trial_32_squat,further_brown
693,closer,b5377cf24d71_27,trial_30_doberman,trial_18_pug,trial_23_weimaraner,trial_25_goldenretriever,closer_doberman
694,further,b5377cf24d71_28,trial_2_bullmastiff,trial_13_tomtit,trial_17_redsport,trial_5_inlay,further_bullmastiff
695,closer,b5377cf24d71_29,trial_31_bluesedan,trial_10_beetle,trial_1_bluesport,trial_6_hatchback,closer_bluesedan
696,closer,b5377cf24d71_30,trial_6_hatchback,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,closer_hatchback
697,further,b5377cf24d71_31,trial_3_redantique,trial_11_waiting,trial_26_crow,trial_7_basset,further_redantique
698,further,b5377cf24d71_32,trial_5_inlay,trial_13_tomtit,trial_17_redsport,trial_2_bullmastiff,further_inlay
699,further,0934a9585321_2,trial_3_redantique,trial_14_robin,trial_28_chihuahua,trial_8_knob,further_redantique
700,closer,0934a9585321_3,trial_16_bloodhound,trial_23_weimaraner,trial_30_doberman,trial_7_basset,closer_bloodhound
701,further,0934a9585321_4,trial_6_hatchback,trial_15_nightingale,trial_2_bullmastiff,trial_4_straight,further_hatchback
702,further,0934a9585321_5,trial_13_tomtit,trial_11_waiting,trial_18_pug,trial_24_white,further_tomtit
703,further,0934a9585321_6,trial_14_robin,trial_28_chihuahua,trial_3_redantique,trial_8_knob,further_robin
704,further,0934a9585321_7,trial_25_goldenretriever,trial_19_pigeon,trial_27_sling,trial_9_brown,further_goldenretriever
705,further,0934a9585321_8,trial_15_nightingale,trial_2_bullmastiff,trial_4_straight,trial_6_hatchback,further_nightingale
706,further,0934a9585321_9,trial_2_bullmastiff,trial_15_nightingale,trial_4_straight,trial_6_hatchback,further_bullmastiff
