,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
590,closer,fbb1a309c5d9_12,trial_28_chihuahua,trial_16_bloodhound,trial_18_pug,trial_30_doberman,closer_chihuahua
591,closer,fbb1a309c5d9_16,trial_26_crow,trial_12_bluejay,trial_14_robin,trial_29_sparrow,closer_crow
592,closer,fbb1a309c5d9_20,trial_30_doberman,trial_16_bloodhound,trial_18_pug,trial_28_chihuahua,closer_doberman
593,further,fbb1a309c5d9_22,trial_4_straight,trial_15_nightingale,trial_17_redsport,trial_2_bullmastiff,further_straight
594,further,fbb1a309c5d9_24,trial_2_bullmastiff,trial_15_nightingale,trial_17_redsport,trial_4_straight,further_bullmastiff
595,closer,fbb1a309c5d9_25,trial_29_sparrow,trial_12_bluejay,trial_14_robin,trial_26_crow,closer_sparrow
596,closer,fbb1a309c5d9_27,trial_16_bloodhound,trial_18_pug,trial_28_chihuahua,trial_30_doberman,closer_bloodhound
597,closer,fbb1a309c5d9_29,trial_12_bluejay,trial_14_robin,trial_26_crow,trial_29_sparrow,closer_bluejay
598,closer,fbb1a309c5d9_31,trial_18_pug,trial_16_bloodhound,trial_28_chihuahua,trial_30_doberman,closer_pug
599,further,7bf13a56bbb7_1,trial_17_redsport,trial_12_bluejay,trial_27_sling,trial_28_chihuahua,further_redsport
600,closer,7bf13a56bbb7_2,trial_4_straight,trial_21_woven,trial_5_inlay,trial_8_knob,closer_straight
601,further,7bf13a56bbb7_7,trial_6_hatchback,trial_11_waiting,trial_15_nightingale,trial_30_doberman,further_hatchback
602,further,7bf13a56bbb7_11,trial_15_nightingale,trial_11_waiting,trial_30_doberman,trial_6_hatchback,further_nightingale
603,closer,7bf13a56bbb7_13,trial_8_knob,trial_21_woven,trial_4_straight,trial_5_inlay,closer_knob
604,closer,7bf13a56bbb7_17,trial_21_woven,trial_4_straight,trial_5_inlay,trial_8_knob,closer_woven
605,further,7bf13a56bbb7_18,trial_27_sling,trial_12_bluejay,trial_17_redsport,trial_28_chihuahua,further_sling
606,further,7bf13a56bbb7_19,trial_30_doberman,trial_11_waiting,trial_15_nightingale,trial_6_hatchback,further_doberman
607,closer,7bf13a56bbb7_20,trial_25_goldenretriever,trial_16_bloodhound,trial_23_weimaraner,trial_7_basset,closer_goldenretriever
608,further,7bf13a56bbb7_23,trial_11_waiting,trial_15_nightingale,trial_30_doberman,trial_6_hatchback,further_waiting
609,closer,7bf13a56bbb7_24,trial_5_inlay,trial_21_woven,trial_4_straight,trial_8_knob,closer_inlay
610,further,7bf13a56bbb7_25,trial_28_chihuahua,trial_12_bluejay,trial_17_redsport,trial_27_sling,further_chihuahua
611,further,7bf13a56bbb7_29,trial_12_bluejay,trial_17_redsport,trial_27_sling,trial_28_chihuahua,further_bluejay
612,closer,7bf13a56bbb7_30,trial_7_basset,trial_16_bloodhound,trial_23_weimaraner,trial_25_goldenretriever,closer_basset
613,further,9fe236623033_6,trial_12_bluejay,trial_17_redsport,trial_23_weimaraner,trial_27_sling,further_bluejay
614,further,9fe236623033_7,trial_17_redsport,trial_12_bluejay,trial_23_weimaraner,trial_27_sling,further_redsport
615,further,9fe236623033_13,trial_16_bloodhound,trial_26_crow,trial_5_inlay,trial_9_brown,further_bloodhound
616,further,9fe236623033_18,trial_5_inlay,trial_16_bloodhound,trial_26_crow,trial_9_brown,further_inlay
617,further,9fe236623033_24,trial_26_crow,trial_16_bloodhound,trial_5_inlay,trial_9_brown,further_crow
618,further,9fe236623033_25,trial_27_sling,trial_12_bluejay,trial_17_redsport,trial_23_weimaraner,further_sling
619,further,9fe236623033_28,trial_9_brown,trial_16_bloodhound,trial_26_crow,trial_5_inlay,further_brown
620,further,9fe236623033_30,trial_23_weimaraner,trial_12_bluejay,trial_17_redsport,trial_27_sling,further_weimaraner
621,closer,9fe236623033_31,trial_4_straight,trial_22_leather,trial_32_squat,trial_8_knob,closer_straight
622,closer,4ba89ccde7dd_1,trial_7_basset,trial_16_bloodhound,trial_28_chihuahua,trial_2_bullmastiff,closer_basset
623,closer,4ba89ccde7dd_3,trial_8_knob,trial_11_waiting,trial_21_woven,trial_22_leather,closer_knob
624,further,4ba89ccde7dd_4,trial_30_doberman,trial_10_beetle,trial_15_nightingale,trial_27_sling,further_doberman
625,further,4ba89ccde7dd_6,trial_27_sling,trial_10_beetle,trial_15_nightingale,trial_30_doberman,further_sling
626,closer,4ba89ccde7dd_10,trial_28_chihuahua,trial_16_bloodhound,trial_2_bullmastiff,trial_7_basset,closer_chihuahua
627,closer,4ba89ccde7dd_11,trial_21_woven,trial_11_waiting,trial_22_leather,trial_8_knob,closer_woven
628,further,4ba89ccde7dd_12,trial_15_nightingale,trial_10_beetle,trial_27_sling,trial_30_doberman,further_nightingale
629,further,4ba89ccde7dd_15,trial_19_pigeon,trial_23_weimaraner,trial_32_squat,trial_3_redantique,further_pigeon
630,closer,4ba89ccde7dd_20,trial_22_leather,trial_11_waiting,trial_21_woven,trial_8_knob,closer_leather
631,closer,4ba89ccde7dd_21,trial_11_waiting,trial_21_woven,trial_22_leather,trial_8_knob,closer_waiting
632,further,4ba89ccde7dd_22,trial_32_squat,trial_19_pigeon,trial_23_weimaraner,trial_3_redantique,further_squat
633,further,4ba89ccde7dd_25,trial_3_redantique,trial_19_pigeon,trial_23_weimaraner,trial_32_squat,further_redantique
634,further,4ba89ccde7dd_26,trial_10_beetle,trial_15_nightingale,trial_27_sling,trial_30_doberman,further_beetle
635,closer,4ba89ccde7dd_29,trial_2_bullmastiff,trial_16_bloodhound,trial_28_chihuahua,trial_7_basset,closer_bullmastiff
636,further,4ba89ccde7dd_32,trial_23_weimaraner,trial_19_pigeon,trial_32_squat,trial_3_redantique,further_weimaraner
637,further,5c0803980807_4,trial_3_redantique,trial_20_cuckoo,trial_22_leather,trial_7_basset,further_redantique
638,further,5c0803980807_5,trial_6_hatchback,trial_13_tomtit,trial_21_woven,trial_23_weimaraner,further_hatchback
639,further,5c0803980807_11,trial_13_tomtit,trial_21_woven,trial_23_weimaraner,trial_6_hatchback,further_tomtit
