,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
687,closer,9fe236623033_31,trial_4_straight,trial_22_leather,trial_32_squat,trial_8_knob,closer_straight
688,closer,4ba89ccde7dd_1,trial_7_basset,trial_16_bloodhound,trial_28_chihuahua,trial_2_bullmastiff,closer_basset
689,closer,4ba89ccde7dd_3,trial_8_knob,trial_11_waiting,trial_21_woven,trial_22_leather,closer_knob
690,further,4ba89ccde7dd_4,trial_30_doberman,trial_10_beetle,trial_15_nightingale,trial_27_sling,further_doberman
691,further,4ba89ccde7dd_6,trial_27_sling,trial_10_beetle,trial_15_nightingale,trial_30_doberman,further_sling
692,closer,4ba89ccde7dd_10,trial_28_chihuahua,trial_16_bloodhound,trial_2_bullmastiff,trial_7_basset,closer_chihuahua
693,closer,4ba89ccde7dd_11,trial_21_woven,trial_11_waiting,trial_22_leather,trial_8_knob,closer_woven
694,further,4ba89ccde7dd_12,trial_15_nightingale,trial_10_beetle,trial_27_sling,trial_30_doberman,further_nightingale
695,closer,4ba89ccde7dd_14,trial_16_bloodhound,trial_28_chihuahua,trial_2_bullmastiff,trial_7_basset,closer_bloodhound
696,further,4ba89ccde7dd_15,trial_19_pigeon,trial_23_weimaraner,trial_32_squat,trial_3_redantique,further_pigeon
697,closer,4ba89ccde7dd_20,trial_22_leather,trial_11_waiting,trial_21_woven,trial_8_knob,closer_leather
698,closer,4ba89ccde7dd_21,trial_11_waiting,trial_21_woven,trial_22_leather,trial_8_knob,closer_waiting
699,further,4ba89ccde7dd_22,trial_32_squat,trial_19_pigeon,trial_23_weimaraner,trial_3_redantique,further_squat
700,further,4ba89ccde7dd_25,trial_3_redantique,trial_19_pigeon,trial_23_weimaraner,trial_32_squat,further_redantique
701,further,4ba89ccde7dd_26,trial_10_beetle,trial_15_nightingale,trial_27_sling,trial_30_doberman,further_beetle
702,closer,4ba89ccde7dd_29,trial_2_bullmastiff,trial_16_bloodhound,trial_28_chihuahua,trial_7_basset,closer_bullmastiff
703,further,4ba89ccde7dd_32,trial_23_weimaraner,trial_19_pigeon,trial_32_squat,trial_3_redantique,further_weimaraner
704,further,5c0803980807_4,trial_3_redantique,trial_20_cuckoo,trial_22_leather,trial_7_basset,further_redantique
705,further,5c0803980807_5,trial_6_hatchback,trial_13_tomtit,trial_21_woven,trial_23_weimaraner,further_hatchback
706,further,5c0803980807_11,trial_13_tomtit,trial_21_woven,trial_23_weimaraner,trial_6_hatchback,further_tomtit
707,closer,5c0803980807_13,trial_14_robin,trial_12_bluejay,trial_26_crow,trial_29_sparrow,closer_robin
708,further,5c0803980807_16,trial_22_leather,trial_20_cuckoo,trial_3_redantique,trial_7_basset,further_leather
709,further,5c0803980807_17,trial_23_weimaraner,trial_13_tomtit,trial_21_woven,trial_6_hatchback,further_weimaraner
710,closer,5c0803980807_18,trial_26_crow,trial_12_bluejay,trial_14_robin,trial_29_sparrow,closer_crow
711,further,5c0803980807_22,trial_21_woven,trial_13_tomtit,trial_23_weimaraner,trial_6_hatchback,further_woven
712,closer,5c0803980807_23,trial_12_bluejay,trial_14_robin,trial_26_crow,trial_29_sparrow,closer_bluejay
713,further,5c0803980807_25,trial_7_basset,trial_20_cuckoo,trial_22_leather,trial_3_redantique,further_basset
714,closer,5c0803980807_28,trial_29_sparrow,trial_12_bluejay,trial_14_robin,trial_26_crow,closer_sparrow
715,further,5c0803980807_32,trial_20_cuckoo,trial_22_leather,trial_3_redantique,trial_7_basset,further_cuckoo
716,further,8a631b1fa894_4,trial_1_bluesport,trial_14_robin,trial_5_inlay,trial_7_basset,further_bluesport
717,closer,8a631b1fa894_5,trial_18_pug,trial_28_chihuahua,trial_2_bullmastiff,trial_30_doberman,closer_pug
718,further,8a631b1fa894_7,trial_5_inlay,trial_14_robin,trial_1_bluesport,trial_7_basset,further_inlay
719,further,8a631b1fa894_8,trial_12_bluejay,trial_11_waiting,trial_25_goldenretriever,trial_31_bluesedan,further_bluejay
720,further,8a631b1fa894_9,trial_7_basset,trial_14_robin,trial_1_bluesport,trial_5_inlay,further_basset
721,further,8a631b1fa894_10,trial_25_goldenretriever,trial_11_waiting,trial_12_bluejay,trial_31_bluesedan,further_goldenretriever
722,further,8a631b1fa894_11,trial_14_robin,trial_1_bluesport,trial_5_inlay,trial_7_basset,further_robin
723,further,8a631b1fa894_12,trial_31_bluesedan,trial_11_waiting,trial_12_bluejay,trial_25_goldenretriever,further_bluesedan
724,further,8a631b1fa894_14,trial_11_waiting,trial_12_bluejay,trial_25_goldenretriever,trial_31_bluesedan,further_waiting
725,closer,8a631b1fa894_23,trial_30_doberman,trial_18_pug,trial_28_chihuahua,trial_2_bullmastiff,closer_doberman
726,closer,8a631b1fa894_24,trial_2_bullmastiff,trial_18_pug,trial_28_chihuahua,trial_30_doberman,closer_bullmastiff
727,closer,8a631b1fa894_28,trial_28_chihuahua,trial_18_pug,trial_2_bullmastiff,trial_30_doberman,closer_chihuahua
