,gameID,target,choice,correct,rt,fname,d1,d2,d3,target_category,chosen_category,condition,drawDuration,original_gameID,viewer_correct,viewer_choice,viewer_RT,mean_intensity,num_strokes,correct_class
568,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,nightingale,nightingale,1,9884,gameID_0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_trial_7.png,robin,crow,crow,bird,bird,closer,49.257,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9,False,tomtit,13.599,0.0431,18,True
569,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,crow,pigeon,0,4418,gameID_3485-477008c1-e529-4ad0-a62b-df33c782a5e3_trial_7.png,cuckoo,robin,robin,bird,bird,closer,11.946,3485-477008c1-e529-4ad0-a62b-df33c782a5e3,True,crow,10.17,0.0321,7,True
571,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,redsport,brown,0,4887,gameID_1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_trial_8.png,robin,leather,leather,car,car,further,12.863,1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695,True,redsport,7.063,0.0499,5,True
572,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,hatchback,hatchback,1,7197,gameID_5412-7dc95fb9-5b93-4d9a-bf13-7d349722b687_trial_8.png,bluesedan,redsport,redsport,car,car,closer,53.824,5412-7dc95fb9-5b93-4d9a-bf13-7d349722b687,True,hatchback,4.255,0.0359,19,True
573,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,leather,leather,1,8155,gameID_9451-6c7f6084-1fb9-47c6-a7c2-36a20f2951c5_trial_8.png,woven,waiting,waiting,chair,chair,closer,29.776999999999997,9451-6c7f6084-1fb9-47c6-a7c2-36a20f2951c5,True,leather,2.329,0.059000000000000004,9,True
574,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,straight,straight,1,3253,gameID_9840-46b175c7-8715-49fe-99a6-0dae8776ef1b_trial_8.png,bluejay,redsport,redsport,chair,chair,further,10.129,9840-46b175c7-8715-49fe-99a6-0dae8776ef1b,True,straight,1.614,0.0296,10,True
575,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,tomtit,sparrow,0,9242,gameID_8033-46b51efe-5b34-4a26-a7f0-a5d08708618a_trial_8.png,redsport,knob,knob,bird,bird,further,21.881999999999998,8033-46b51efe-5b34-4a26-a7f0-a5d08708618a,True,tomtit,14.802999999999999,0.03,10,True
576,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,beetle,bluesport,0,7205,gameID_3572-0843efc9-9dec-40f1-879f-2a61d8a3622d_trial_8.png,tomtit,squat,squat,car,car,further,4.133,3572-0843efc9-9dec-40f1-879f-2a61d8a3622d,True,beetle,2.937,0.0429,4,True
577,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,bluesport,redantique,0,6461,gameID_8901-cec404f6-c1b9-458f-8ab5-3fac34c1563f_trial_8.png,robin,straight,straight,car,car,further,14.825,8901-cec404f6-c1b9-458f-8ab5-3fac34c1563f,True,bluesport,16.147000000000002,0.0283,5,True
578,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,inlay,inlay,1,3805,gameID_2721-f28245be-a3ac-425e-9538-5c0803980807_trial_8.png,squat,sling,sling,chair,chair,closer,32.957,2721-f28245be-a3ac-425e-9538-5c0803980807,True,inlay,8.392000000000001,0.0566,10,True
580,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,redsport,redsport,1,7797,gameID_5994-c7c61529-a835-4433-9c73-f628a189f385_trial_8.png,pigeon,leather,leather,car,car,further,8.408,5994-c7c61529-a835-4433-9c73-f628a189f385,True,redsport,3.361,0.0204,5,True
581,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,white,white,1,2548,gameID_3956-be947e80-531d-42ce-b238-e0b3bd997edf_trial_8.png,redantique,beetle,beetle,car,car,closer,78.497,3956-be947e80-531d-42ce-b238-e0b3bd997edf,True,white,5.771,0.0294,9,True
582,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,brown,redantique,0,3349,gameID_6224-40ab6004-b7c1-4d1d-a308-a061099290fc_trial_9.png,nightingale,woven,woven,car,car,further,1.7480000000000002,6224-40ab6004-b7c1-4d1d-a308-a061099290fc,True,brown,3.339,0.0099,2,True
583,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,cuckoo,cuckoo,1,4311,gameID_9229-923201c3-dd68-4362-8eec-77cb88a647c4_trial_9.png,bluesport,waiting,waiting,bird,bird,further,24.03,9229-923201c3-dd68-4362-8eec-77cb88a647c4,True,cuckoo,2.8280000000000003,0.0583,8,True
584,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,inlay,straight,0,8772,gameID_8154-5d8b5091-2c29-4502-9719-1b295ff55c49_trial_9.png,robin,brown,brown,chair,chair,further,3.597,8154-5d8b5091-2c29-4502-9719-1b295ff55c49,True,inlay,1.902,0.028999999999999998,3,True
585,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,nightingale,nightingale,1,13298,gameID_4409-c993cc06-d675-4acb-881f-b5377cf24d71_trial_9.png,sparrow,robin,robin,bird,bird,closer,42.006,4409-c993cc06-d675-4acb-881f-b5377cf24d71,True,nightingale,6.122000000000001,0.0646,13,True
586,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,bluejay,bluejay,1,13994,gameID_8621-ca1f4a87-da08-43dd-96fb-948482e4d94c_trial_9.png,redsport,waiting,waiting,bird,bird,further,9.75,8621-ca1f4a87-da08-43dd-96fb-948482e4d94c,True,bluejay,7.239,0.0231,4,True
587,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,sparrow,sparrow,1,7813,gameID_0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_trial_9.png,pigeon,crow,crow,bird,bird,closer,48.457,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345,True,sparrow,8.939,0.0528,29,True
588,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,basset,basset,1,5025,gameID_2611-14794729-06be-4093-aac5-8a631b1fa894_trial_9.png,robin,bluesport,bluesport,dog,dog,further,47.571999999999996,2611-14794729-06be-4093-aac5-8a631b1fa894,True,basset,3.25,0.0478,13,True
589,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,leather,leather,1,14466,gameID_0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8_trial_9.png,tomtit,redantique,redantique,chair,chair,further,15.802,0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8,True,leather,1.9909999999999999,0.0522,5,True
590,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,pug,pug,1,3487,gameID_3485-477008c1-e529-4ad0-a62b-df33c782a5e3_trial_9.png,bloodhound,doberman,doberman,dog,dog,closer,28.146,3485-477008c1-e529-4ad0-a62b-df33c782a5e3,True,pug,2.036,0.0534,8,True
591,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,chihuahua,chihuahua,1,5634,gameID_0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_trial_9.png,bloodhound,goldenretriever,goldenretriever,dog,dog,closer,32.696999999999996,0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1,True,chihuahua,3.367,0.0577,8,True
592,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,bluesedan,redantique,0,7508,gameID_3956-be947e80-531d-42ce-b238-e0b3bd997edf_trial_9.png,redantique,beetle,beetle,car,car,closer,57.588,3956-be947e80-531d-42ce-b238-e0b3bd997edf,True,bluesedan,12.892000000000001,0.0283,7,True
593,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,pigeon,pigeon,1,6504,gameID_5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_trial_10.png,robin,nightingale,nightingale,bird,bird,closer,24.342,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d,True,pigeon,9.786,0.0611,11,True
594,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,beetle,beetle,1,5022,gameID_9903-d6e6a9ff-a878-4bee-b2d5-26e2e239460a_trial_10.png,redsport,bluesport,bluesport,car,car,closer,15.719000000000001,9903-d6e6a9ff-a878-4bee-b2d5-26e2e239460a,True,beetle,10.017999999999999,0.0395,7,True
595,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,leather,leather,1,11909,gameID_1752-fba5d4af-f103-4e3a-b100-d479bb0a2d11_trial_10.png,nightingale,beetle,beetle,chair,chair,further,88.115,1752-fba5d4af-f103-4e3a-b100-d479bb0a2d11,True,leather,3.158,0.1682,26,True
596,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,nightingale,nightingale,1,3228,gameID_3897-71f63429-f74c-42ea-a48e-f21b736affde_trial_10.png,redantique,leather,leather,bird,bird,further,3.29,3897-71f63429-f74c-42ea-a48e-f21b736affde,True,nightingale,4.441,0.0354,8,True
597,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,inlay,inlay,1,3602,gameID_9488-b896538b-6d64-46b2-b5ff-a4509fb4d9a0_trial_10.png,bluejay,redsport,redsport,chair,chair,further,10.354000000000001,9488-b896538b-6d64-46b2-b5ff-a4509fb4d9a0,True,inlay,7.546,0.0303,5,True
598,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,cuckoo,cuckoo,1,6758,gameID_8621-ca1f4a87-da08-43dd-96fb-948482e4d94c_trial_10.png,pigeon,sparrow,sparrow,bird,bird,closer,11.044,8621-ca1f4a87-da08-43dd-96fb-948482e4d94c,False,pigeon,2.123,0.062,5,True
599,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,pigeon,crow,0,5168,gameID_0075-ad14e50c-f328-451b-82b0-2a7d3b392127_trial_10.png,nightingale,sparrow,sparrow,bird,bird,closer,4.439,0075-ad14e50c-f328-451b-82b0-2a7d3b392127,True,pigeon,6.1579999999999995,0.0385,3,True
600,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,sparrow,crow,0,7081,gameID_6500-391008be-12c2-4a97-a943-7bf13a56bbb7_trial_10.png,tomtit,pigeon,pigeon,bird,bird,closer,15.135,6500-391008be-12c2-4a97-a943-7bf13a56bbb7,True,sparrow,14.145,0.0336,6,True
601,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,pigeon,pigeon,1,5485,gameID_4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1_trial_10.png,bluesedan,leather,leather,bird,bird,further,8.461,4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1,True,pigeon,4.534,0.0447,4,True
603,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,doberman,doberman,1,6948,gameID_3956-be947e80-531d-42ce-b238-e0b3bd997edf_trial_10.png,nightingale,redsport,redsport,dog,dog,further,46.184,3956-be947e80-531d-42ce-b238-e0b3bd997edf,True,doberman,12.152999999999999,0.0344,8,True
604,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,tomtit,tomtit,1,5798,gameID_4099-cfa19d59-4f8b-4d34-bd3f-23a1e8c79e67_trial_11.png,bluejay,robin,robin,bird,bird,closer,23.825,4099-cfa19d59-4f8b-4d34-bd3f-23a1e8c79e67,True,tomtit,5.053999999999999,0.0296,6,True
605,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,knob,knob,1,5005,gameID_5650-cb4a9e85-a383-43f6-83e6-331e286811d1_trial_11.png,inlay,leather,leather,chair,chair,closer,19.255,5650-cb4a9e85-a383-43f6-83e6-331e286811d1,True,knob,27.611,0.0608,6,True
606,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,bullmastiff,pug,0,11437,gameID_1970-1377644d-0742-4343-ae91-737a5b0fbd1f_trial_11.png,bloodhound,goldenretriever,goldenretriever,dog,dog,closer,20.857,1970-1377644d-0742-4343-ae91-737a5b0fbd1f,True,bullmastiff,4.914,0.0493,9,True
607,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,pigeon,pigeon,1,6474,gameID_8621-ca1f4a87-da08-43dd-96fb-948482e4d94c_trial_11.png,cuckoo,sparrow,sparrow,bird,bird,closer,28.072,8621-ca1f4a87-da08-43dd-96fb-948482e4d94c,True,pigeon,2.379,0.0814,13,True
608,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,straight,straight,1,3199,gameID_5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5_trial_11.png,tomtit,bluesport,bluesport,chair,chair,further,6.237,5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5,True,straight,2.227,0.0228,6,True
609,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,woven,woven,1,5558,gameID_5707-49e9e7c8-5fe1-4469-9905-4ba89ccde7dd_trial_11.png,knob,waiting,waiting,chair,chair,closer,40.173,5707-49e9e7c8-5fe1-4469-9905-4ba89ccde7dd,True,woven,8.304,0.0541,7,True
610,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,crow,bluejay,0,6252,gameID_8844-b38e583e-3f9a-4f4e-baa2-1ad91742f7d4_trial_11.png,brown,sling,sling,bird,bird,further,0.0,8844-b38e583e-3f9a-4f4e-baa2-1ad91742f7d4,True,crow,8.731,0.0356,1,True
611,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,bluesport,bluesport,1,4430,gameID_7823-f830a2ad-96de-4d1f-a926-5b44d0a625aa_trial_11.png,redantique,white,white,car,car,closer,10.338,7823-f830a2ad-96de-4d1f-a926-5b44d0a625aa,False,redantique,5.0089999999999995,0.0397,5,True
612,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,bluejay,bluejay,1,4612,gameID_6224-40ab6004-b7c1-4d1d-a308-a061099290fc_trial_12.png,cuckoo,robin,robin,bird,bird,closer,5.055,6224-40ab6004-b7c1-4d1d-a308-a061099290fc,True,bluejay,3.012,0.022000000000000002,3,True
613,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,hatchback,hatchback,1,3390,gameID_6592-d354ecd6-f421-4200-98e1-8d7c0ee48a43_trial_12.png,brown,redsport,redsport,car,car,closer,48.022,6592-d354ecd6-f421-4200-98e1-8d7c0ee48a43,True,hatchback,4.131,0.1007,16,True
614,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,redsport,hatchback,0,7996,gameID_0225-fd115f45-542e-4c76-9672-54e60295fc00_trial_12.png,nightingale,inlay,inlay,car,car,further,4.4430000000000005,0225-fd115f45-542e-4c76-9672-54e60295fc00,True,redsport,4.079,0.0325,3,True
615,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,beetle,beetle,1,4655,gameID_3897-71f63429-f74c-42ea-a48e-f21b736affde_trial_12.png,brown,redsport,redsport,car,car,closer,7.529,3897-71f63429-f74c-42ea-a48e-f21b736affde,False,brown,28.715999999999998,0.031,7,True
616,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,white,white,1,1725,gameID_7285-f99d9991-de84-43cc-b359-e9de387ab0b5_trial_12.png,crow,knob,knob,car,car,further,12.048,7285-f99d9991-de84-43cc-b359-e9de387ab0b5,True,white,4.341,0.0313,5,True
617,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,crow,pigeon,0,8695,gameID_0075-ad14e50c-f328-451b-82b0-2a7d3b392127_trial_12.png,bluesedan,inlay,inlay,bird,bird,further,6.997999999999999,0075-ad14e50c-f328-451b-82b0-2a7d3b392127,True,crow,2.543,0.028999999999999998,6,True
618,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,basset,basset,1,8431,gameID_4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1_trial_12.png,pug,weimaraner,weimaraner,dog,dog,closer,1.564,4613-4fa2802d-8f43-4ffd-9a0a-9d29240651d1,True,basset,6.917000000000001,0.0597,2,True
620,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,nightingale,nightingale,1,4650,gameID_4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_trial_13.png,robin,bluejay,bluejay,bird,bird,closer,57.243,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2,True,nightingale,16.492,0.0476,13,True
621,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,bluesedan,bluesedan,1,2963,gameID_9488-b896538b-6d64-46b2-b5ff-a4509fb4d9a0_trial_13.png,white,bluesport,bluesport,car,car,closer,29.921999999999997,9488-b896538b-6d64-46b2-b5ff-a4509fb4d9a0,True,bluesedan,7.56,0.081,4,True
622,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,sparrow,sparrow,1,2973,gameID_7285-f99d9991-de84-43cc-b359-e9de387ab0b5_trial_13.png,cuckoo,tomtit,tomtit,bird,bird,closer,63.29,7285-f99d9991-de84-43cc-b359-e9de387ab0b5,True,sparrow,2.864,0.0388,17,True
623,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,goldenretriever,goldenretriever,1,14176,gameID_3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0_trial_13.png,bullmastiff,doberman,doberman,dog,dog,closer,42.839,3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0,True,goldenretriever,9.712,0.0752,15,True
624,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,doberman,doberman,1,2251,gameID_2769-b075d070-88e5-47fe-b275-c49134b19ceb_trial_13.png,robin,bluesedan,bluesedan,dog,dog,further,13.005999999999998,2769-b075d070-88e5-47fe-b275-c49134b19ceb,True,doberman,3.536,0.0771,4,True
625,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,squat,inlay,0,5621,gameID_6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8_trial_13.png,robin,brown,brown,chair,chair,further,9.184,6311-cd21a68a-f1df-4290-b744-b0c7c7c60ed8,True,squat,3.734,0.0344,7,True
626,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,woven,woven,1,1767,gameID_5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d_trial_14.png,inlay,leather,leather,chair,chair,closer,14.402999999999999,5708-fd15d921-aa1b-46e4-ad51-e0c743c2db0d,True,woven,6.195,0.0623,5,True
628,0824-07d0bcdd-5982-4830-9898-e9d33e9c107f,white,bluesport,0,8746,gameID_0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_trial_14.png,robin,sling,sling,car,car,further,5.0,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345,True,white,2.364,0.0476,6,True
629,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,leather,woven,0,8723,gameID_2137-5eb24312-af96-43dc-bb4b-76ac0d817ede_trial_30.png,woven,inlay,inlay,chair,chair,closer,16.547,2137-5eb24312-af96-43dc-bb4b-76ac0d817ede,True,leather,6.483,0.049,6,True
630,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,beetle,hatchback,0,6948,gameID_2769-b075d070-88e5-47fe-b275-c49134b19ceb_trial_30.png,white,hatchback,hatchback,car,car,closer,11.412,2769-b075d070-88e5-47fe-b275-c49134b19ceb,True,beetle,3.846,0.0403,7,True
631,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,goldenretriever,weimaraner,0,8026,gameID_3956-be947e80-531d-42ce-b238-e0b3bd997edf_trial_30.png,pigeon,brown,brown,dog,dog,further,29.483,3956-be947e80-531d-42ce-b238-e0b3bd997edf,True,goldenretriever,8.297,0.0335,7,True
632,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,squat,woven,0,3159,gameID_5331-d3bd334d-3d8c-400e-b3b2-44cd69623cb7_trial_31.png,waiting,woven,woven,chair,chair,closer,11.107999999999999,5331-d3bd334d-3d8c-400e-b3b2-44cd69623cb7,True,squat,5.69,0.0462,8,True
633,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,chihuahua,bullmastiff,0,3195,gameID_8154-5d8b5091-2c29-4502-9719-1b295ff55c49_trial_31.png,pug,weimaraner,weimaraner,dog,dog,closer,26.484,8154-5d8b5091-2c29-4502-9719-1b295ff55c49,True,chihuahua,4.0360000000000005,0.0425,9,True
634,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,goldenretriever,goldenretriever,1,3725,gameID_0225-fd115f45-542e-4c76-9672-54e60295fc00_trial_31.png,chihuahua,bloodhound,bloodhound,dog,dog,closer,14.280999999999999,0225-fd115f45-542e-4c76-9672-54e60295fc00,True,goldenretriever,5.734,0.0359,7,True
635,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,sling,sling,1,2775,gameID_4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_trial_31.png,inlay,squat,squat,chair,chair,closer,61.658,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2,True,sling,4.231,0.0717,21,True
636,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,waiting,leather,0,3118,gameID_7567-ce474df0-a84b-46aa-b23d-c238f8234641_trial_31.png,bluejay,hatchback,hatchback,chair,chair,further,18.703,7567-ce474df0-a84b-46aa-b23d-c238f8234641,True,waiting,1.617,0.05,9,True
637,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,bluesedan,beetle,0,5678,gameID_6097-bd18a2a0-7f23-4304-890f-cb44cf334fe4_trial_31.png,bluejay,leather,leather,car,car,further,7.9670000000000005,6097-bd18a2a0-7f23-4304-890f-cb44cf334fe4,True,bluesedan,2.8539999999999996,0.0187,4,True
638,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,bluesport,bluesport,1,3923,gameID_7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5_trial_31.png,pigeon,straight,straight,car,car,further,28.660999999999998,7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5,True,bluesport,9.106,0.0413,9,True
639,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,tomtit,crow,0,4890,gameID_3444-a337b178-b097-4a79-bbf3-e7e2225bac12_trial_31.png,beetle,knob,knob,bird,bird,further,0.0,3444-a337b178-b097-4a79-bbf3-e7e2225bac12,True,tomtit,5.178999999999999,0.0313,1,True
640,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,nightingale,tomtit,0,3760,gameID_5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5_trial_31.png,cuckoo,robin,robin,bird,bird,closer,55.091,5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5,True,nightingale,3.5239999999999996,0.0448,16,True
641,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,pug,pug,1,3340,gameID_1695-dcc9fa2e-386a-42cc-a4cb-fbb1a309c5d9_trial_31.png,doberman,chihuahua,chihuahua,dog,dog,closer,52.727,1695-dcc9fa2e-386a-42cc-a4cb-fbb1a309c5d9,True,pug,2.8930000000000002,0.0754,24,True
642,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,basset,basset,1,2188,gameID_5401-eaf89cb8-eaee-4824-949a-f6a80bd05fc3_trial_31.png,cuckoo,redantique,redantique,dog,dog,further,45.068999999999996,5401-eaf89cb8-eaee-4824-949a-f6a80bd05fc3,True,basset,5.37,0.0291,11,True
643,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,bullmastiff,bullmastiff,1,4640,gameID_4922-1aed9a2a-2e30-4032-9087-500ec1c2d3aa_trial_31.png,bluejay,bluesedan,bluesedan,dog,dog,further,0.0,4922-1aed9a2a-2e30-4032-9087-500ec1c2d3aa,True,bullmastiff,2.6889999999999996,0.037000000000000005,1,True
644,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,knob,inlay,0,3032,gameID_5148-2dd2d418-6ff6-40f1-ac59-e201d15bc528_trial_31.png,tomtit,brown,brown,chair,chair,further,2.6460000000000004,5148-2dd2d418-6ff6-40f1-ac59-e201d15bc528,True,knob,3.515,0.0429,6,True
646,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,nightingale,crow,0,2271,gameID_6224-40ab6004-b7c1-4d1d-a308-a061099290fc_trial_32.png,brown,woven,woven,bird,bird,further,6.443,6224-40ab6004-b7c1-4d1d-a308-a061099290fc,True,nightingale,3.198,0.0204,3,True
647,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,goldenretriever,bullmastiff,0,5763,gameID_1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_trial_32.png,doberman,bloodhound,bloodhound,dog,dog,closer,26.232,1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695,True,goldenretriever,8.836,0.069,10,True
648,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,beetle,hatchback,0,1967,gameID_4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_trial_32.png,redsport,hatchback,hatchback,car,car,closer,55.746,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2,True,beetle,8.647,0.0381,11,True
649,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,inlay,waiting,0,4240,gameID_4409-c993cc06-d675-4acb-881f-b5377cf24d71_trial_32.png,tomtit,redsport,redsport,chair,chair,further,5.506,4409-c993cc06-d675-4acb-881f-b5377cf24d71,True,inlay,1.518,0.0486,6,True
650,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,redsport,bluesedan,0,3915,gameID_6097-bd18a2a0-7f23-4304-890f-cb44cf334fe4_trial_32.png,sparrow,straight,straight,car,car,further,6.621,6097-bd18a2a0-7f23-4304-890f-cb44cf334fe4,True,redsport,8.068999999999999,0.018000000000000002,3,True
651,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,redantique,brown,0,3073,gameID_7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5_trial_32.png,nightingale,knob,knob,car,car,further,15.843,7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5,True,redantique,4.325,0.0435,8,True
652,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,crow,crow,1,6475,gameID_3572-0843efc9-9dec-40f1-879f-2a61d8a3622d_trial_32.png,bluejay,robin,robin,bird,bird,closer,29.123,3572-0843efc9-9dec-40f1-879f-2a61d8a3622d,True,crow,6.415,0.0877,17,True
653,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,hatchback,hatchback,1,1896,gameID_0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_trial_32.png,redantique,beetle,beetle,car,car,closer,26.276999999999997,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345,True,hatchback,2.49,0.0499,17,True
654,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,squat,squat,1,2305,gameID_6500-391008be-12c2-4a97-a943-7bf13a56bbb7_trial_32.png,robin,brown,brown,chair,chair,further,12.975999999999999,6500-391008be-12c2-4a97-a943-7bf13a56bbb7,True,squat,5.0280000000000005,0.0727,6,True
655,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,knob,waiting,0,3701,gameID_2611-14794729-06be-4093-aac5-8a631b1fa894_trial_32.png,woven,sling,sling,chair,chair,closer,46.841,2611-14794729-06be-4093-aac5-8a631b1fa894,True,knob,3.0239999999999996,0.0506,9,True
656,1056-59fcd1ea-3b96-41bf-88d0-fa29295cc8eb,tomtit,tomtit,1,3390,gameID_7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_trial_32.png,robin,bluejay,bluejay,bird,bird,closer,34.453,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb,True,tomtit,2.299,0.0366,15,True
657,1088-050b7df7-4038-4478-9262-1b7bd0ce7435,bloodhound,goldenretriever,0,13585,gameID_1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94_trial_20.png,sparrow,beetle,beetle,dog,dog,further,13.739,1233-33433bd3-d72b-4c2a-9ed0-3e83a80f8e94,True,bloodhound,1.6880000000000002,0.0416,5,True
